Filename,Document Name,Document Name-Answer,Parties,Parties-Answer,Agreement Date,Agreement Date-Answer,Effective Date,Effective Date-Answer,Expiration Date,Expiration Date-Answer,Renewal Term,Renewal Term-Answer,Notice Period To Terminate Renewal,Notice Period To Terminate Renewal- Answer,Governing Law,Governing Law-Answer
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement.pdf,"['Website Design, Development and Hosting Agreement']","Website Design, Development and Hosting Agreement","[""Mitchell's Web Advance, PLC"", 'Client', 'FreeCook', 'Company']","FreeCook (""Client""); Mitchell's Web Advance, PLC (""Company"")","['January 11, 2018']",1/11/18,[],,"['Terms of the project: 12 weeks from February 8, 2018 to May 3, 2018']",5/3/18,[],,[],,[],
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.pdf,['MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT'],MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT,"['each individually referred to as ""Party"" and together as ""Parties"".', 'Elephant Talk Communication Holding AG', 'T-Mobile', 'T-Mobile Netherlands B.V.', 'ELEPHANT TALK']","Elephant Talk Communication Holding AG (""ELEPHANT TALK""); T-Mobile Netherlands B.V. (""T-Mobile"")(""Party"" and together as ""Parties"")",['18/9/2008'],9/18/08,"['This Agreement shall come into force on the Date of the Agreement, and shall, subject to article 18, remain in full force and effect for an initial period of *** from the Commercial Launch Date.']",9/18/08,"['This Agreement shall come into force on the Date of the Agreement, and shall, subject to article 18, remain in full force and effect for an initial period of *** from the Commercial Launch Date.']",,"['At the end of *** Parties will negotiate in good faith regarding a possible extension of the Initial Term.', 'Parties can mutually agree in writing to deviate from an automatic extension of *** by extending this Agreement for a longer period than ***.', 'If no termination notice is provided, the Agreement will be automatically extended for consecutive *** periods until such time as *** termination notice is provided.']",,[],,['This Agreement shall be governed by and construed in all respects exclusively in accordance with the laws of the Netherlands.'],Netherlands
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf,['SERVICES AND HOSTING AGREEMENT'],SERVICES AND HOSTING AGREEMENT,"['VITALIBIS INC', '-Licensee""', 'VOTOCAST, Inc.', '""VOTOCAST']","VITALIBIS INC (""Licensee""); VOTOCAST, Inc. (""VOTOCAST"")",['3-14-18'],3/14/18,['The Effective Date of this Agreement shall be the later of the dates shown by the signatures below.'],3/14/18,"['This Agreement shall commence as of the Effective Date and shall continue in effect for one (I) year, unless earlier terminated as expressly provided in Sections 1.3. 10.1. or 10.2 of this Agreement (the *Initial Term"")']",3/14/19,"['This Agreement shall automatically renew beyond the Initial Term for successive one (I) year terms (each, a ""Renewal Term""), unless a Party provides the other with written notice of termination at least one hundred eighty (180) days prior to the expiration of the Initial Term or the then-current Renewal Term.']",Successive 1 year,"['This Agreement shall automatically renew beyond the Initial Term for successive one (I) year terms (each, a ""Renewal Term""), unless a Party provides the other with written notice of termination at least one hundred eighty (180) days prior to the expiration of the Initial Term or the then-current Renewal Term.']",180 days,['This Agreement shall be governed by the laws of the State of California without giving effect to conflict or choice of law principles.'],California
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,['e-business Hosting Agreement'],e-business Hosting Agreement,"['IBM', 'The Quantum Group Inc.', 'Customer', 'International Business Machines Corporation']","International Business Machines Corporation (""IBM”); The Quantum Group Inc. (""Customer"")",[],12/2/08,"['This Agreement will be effective beginning on 12:01 a.m., Eastern Time, on the day after the date of last signature to these Base Terms (""Effective Date"").']",12/3/08,"['This Agreement will remain in effect for Thirty-six (36)<omitted>months following the Hosting Service Ready Date (""Term""), unless terminated earlier in accordance with the terms herein.']",12/3/11,[],,[],,"['This Agreement will be governed by the substantive laws of the State of New York, without regard for its conflict of laws provisions.']",New York
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.pdf,"['INTELLECTUAL PROPERTY AGREEMENT, d']","INTELLECTUAL PROPERTY AGREEMENT, d","['CERENCE INC.', 'SpinCo', 'Nuance', 'NUANCE COMMUNICATIONS, INC.']","NUANCE COMMUNICATIONS, INC (""Nuance""); CERENCE INC. (""SpinCo"")","['September 30, 2019']",9/30/19,"['This Agreement may be executed in one or more counterparts, all of which counterparts shall be considered one and the same agreement, and shall become effective when one or more counterparts have been signed by each Party and delivered to the other Party.']",,[],,[],,[],,"['Any disputes relating to, arising out of or resulting from this Agreement, including to its execution, performance, or enforcement, shall be governed by, and construed in accordance with, the Laws of the State of Delaware, regardless of the Laws that might otherwise govern under applicable principles of conflicts of Laws thereof.']",Delaware
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.pdf,"['INTELLECTUAL PROPERTY AGREEMENT, d']","INTELLECTUAL PROPERTY AGREEMENT, d","['HONEYWELL INTERNATIONAL INC.', 'GARRETT MOTION INC.', 'SpinCo', 'Honeywell']","HONEYWELL INTERNATIONAL INC. (""Honeywell""); GARRETT MOTION INC. (""SpinCo"")","['September 27, 2018']",9/27/18,"['This Agreement may be executed in one or more counterparts, all of which counterparts shall be considered one and the same agreement, and shall become effective when one or more counterparts have been signed by each Party and delivered to the other Party.']",9/27/18,[],,[],,[],,"['Any disputes arising out of or relating to this Agreement, including to its execution, performance or enforcement, shall be governed by, and construed in accordance with, the Laws of the State of New York, regardless of the Laws that might otherwise govern under applicable principles of conflicts of Laws thereof.']",New York
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement.pdf,['INTELLECTUAL PROPERTY RIGHTS AGREEMENT'],INTELLECTUAL PROPERTY RIGHTS AGREEMENT,"['Investor', 'Company', 'Synchron', 'Rare Element Resources Ltd.']","Synchron (""Investor""); Rare Element Resources Ltd. (""Company"")","['October 2, 2017']",10/2/17,"['""Effective Date"" has the meaning of the ""Closing Date"" set forth in the Investment Agreement.']",,"['Unless earlier terminated in accordance with the terms of this Article XVI, this IP Agreement and the licenses granted herein will continue in effect from the Effective Date until the expiration of the last to expire of the Patents and any additional period of time thereafter that any of the Patents remain enforceable such as in the United States where a party can sue for infringement after a patent expires and seek damages for any infringement of the patent during the six years immediately preceding the filing of a suit for infringement.']",,[],,[],,['This IP Agreement will be construed in accordance with the substantive laws of the state of New York and of the United States of America.'],New York
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf,['SPONSORED RESEARCH AND LICENSE AGREEMENT'],SPONSORED RESEARCH AND LICENSE AGREEMENT,"['University', 'ArTara', 'ArTara, Inc.', 'The University of Iowa']","Artara Therapeutics, Inc. (""ArTara"",""ArTara, Inc.""); The University of Iowa (""University"")","['November 28, 2018']",11/28/18,"['November 28, 2018']",11/28/18,[],,[],,[],,['This Agreement shall be governed by the laws of the State of Iowa.'],Iowa
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.pdf,['MEDIA LICENSE AGREEMENT'],MEDIA LICENSE AGREEMENT,"['PFHOF', 'HOFV', 'Village Media Company', 'NATIONAL FOOTBALL MUSEUM, INC.', 'doing business as Pro Football Hall of Fame', 'HOF Village, LLC', 'HOF Village Media Group, LLC']","NATIONAL FOOTBALL MUSEUM, INC. d/b/a Pro Football Hall of Fame (""PFHOF""); HOF Village, LLC (""Village Media Company""); HOF Village, LLC (""HOFV"")",['the date of the Closing'],,['the date of the Closing'],,"['Unless otherwise terminated as provided herein, the term of this Agreement shall commence on the Effective Date and shall terminate on December 31, 2034 (such period, including as may be extended in accordance with the subsequent sentence, the ""Term"").']",12/31/34,"['If either party elects not to renew the Agreement and the other party wishes to continue the Agreement, the Parties shall attempt in good faith to negotiate an amendment to the Agreement to renew the Term on such terms as may be negotiated by the Parties.', 'Thereafter, the agreement shall automatically renew for successive five (5)-year terms, unless either Party gives written notice to the other Party of intent not to renew at least six (6) months prior to the expiration of the then-current Term.']",successive 5 years,"['Thereafter, the agreement shall automatically renew for successive five (5)-year terms, unless either Party gives written notice to the other Party of intent not to renew at least six (6) months prior to the expiration of the then-current Term.']",180 days / 6 months,"['This Agreement will be governed in all respects by the laws of the State of Ohio (without regard to conflicts of law provisions), as such laws are applied to agreements entered into and to be performed entirely within the State of Ohio between Ohio residents.']",Ohio
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.pdf,['COMMERCIALIZATION AND LICENSE AGREEMENT'],COMMERCIALIZATION AND LICENSE AGREEMENT,"['Vyera', 'CytoDyn Inc.', 'Vyera Pharmaceuticals, LLC', 'CytoDyn', 'CytoDyn and Vyera are sometimes referred to herein individually as a ""Party"" and collectively as the ""Parties.""']","Vyera Pharmaceuticals, LLC ('Vyera""); CytoDyn Inc. (""CytoDyn""); CytoDyn and Vyera (“Party” and collectively as the “Parties.”)","['December 17, 2019']",12/17/19,"['December 17, 2019']",12/17/19,"['The term of this Agreement (""Term"") shall commence upon the Effective Date and, unless earlier terminated pursuant to this Article 11, shall expire on the last day of the Royalty Term.']",,[],,[],,"['This Agreement and all disputes arising out of or related to this Agreement or any breach hereof shall be governed by and construed in accordance with the laws of the State of New York, without giving effect to any choice of law principles that would result in the application of the laws of any other jurisdiction.']",New York
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.pdf,['NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES'],NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES,"['Virtuoso Surgical, Inc.', 'The Johns Hopkins University', 'Company', 'JHU']","The John Hopkins University (""JHU""); Virtuoso Surgical, Inc. (""Company"")","['May 3, 2016']",5/3/16,"['""EFFECTIVE DATE"" of this Agreement shall mean the date the last party hereto has executed this Agreement.<omitted>5/11/2016']",5/11/16,"['This term of this Agreement shall commence on the EFFECTIVE DATE and shall continue, in each country, until the date of expiration of the last to expire patent within PATENT RIGHT(S) in that country.']",,[],,[],,"['This Agreement shall be construed, and legal relations between the parties hereto shall be determined, in accordance with the laws of the State of Maryland applicable to contracts solely executed and wholly to be performed within the State of Maryland without giving effect to the principles of conflicts of laws.']",Maryland
